职业,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
all,羽翼未丰,胜利,赢家,期待,到达,击坠王,贤王,武王,,,,,,,,,,
Human,村人,素人,凡人,玄人,达人,想成为人类,,,,,,,,,,,,
StraySheep,独角兽,迷子,黑羊,羊群效应,宇宙的意志,羣れに帰れ,,,,,,,,,,,,
Sacrifice,活祭品,红色彗星,,,,,,,,,,,,,,,,
Werewolf,人狼,狼,狼男,一骑当千,野兽,同胞,,,,,,,,,,,,
Diviner,占卜师,,观星者,读星者,弹星者,全知,,天理,森罗万象,,,,,,,,,
SuperDiviner,DP,,超观星者,超读星者,超弹星者,超全知,,超天理,超森罗万象,,,,,,,,,
SuperWerewolf,咒杀表演,强欲的人狼,极速咬杀,不留活口,,,,,,,,,,,,,,
SuperFox,预知,运筹帷幄,,,,,,,,,,,,,,,,
Psychic,灵能者,,僧侣,灵感,第六感,,月读,,,,,,,,,,,
Madman,狂人,欺诈,乱民,,暴民,,叛逆,,,,,,,,,,,
Guard,猎人,防御,贴身护卫,守门员,The Wall,,,守护神,,,,,,,,,,
SuperGuard,Karasu鸦,来了全守了,超贴身护卫,超守门员,Super The Wall,,,超守护神,,,,,,,,,,
Couple,共有者,伙伴,共有下来,亲友,同居人,,默契,一心同体,同调,,,,,,,,,
Fox,妖狐,玉藻前,九尾,白狐,天狐,神兽,,,,,,,,,,,,
Poisoner,蛾子,龙葵碱,箭毒蛙,花纹爱洁蟹,河豚,肉毒杆菌,,,,,,,,,,,,
BigWolf,大狼,,头领,BOSS,白狼,表里如一,,,,,,,,,,,,
TinyFox,小狐,,不知父母心,,将来有望,,,,,,,,,,,,,
Bat,蝙蝠,鸟类嫌悪,哺乳类嫌悪,不完全,蝙蝠侠,夜行,,,,,,,,,,,,
Noble,贵族,男爵,子爵,伯爵,侯爵,公爵,,,,,,,,,,,,
Slave,奴隶,跑腿,家仆,双倍奉还,看今朝,下克上,,,,,,,,,,,,
Magician,魔法师,仪式,苏生,死灵术士,贤者,大魔导师,,,,,,,,,,,,
Spy,间谍,Spy,侦探,谍报员,007,CIA,,,,,,,,,,,,
WolfDiviner,人狼占卜师,末吉,小吉,吉,大吉,,,,,,,,,,,,,
Fugitive,逃亡者,胆小,,奔走,大逃亡,,疾风怒涛,,,,,,,,,,,
Merchant,商人,行商,摊贩,掌柜,店主,豪商,,,,,,,,,,,,
QueenSpectator,古手梨花,女王感染者,咪～,咪啪～☆,贝伦卡斯泰露,时空的彼岸,,,,,,,,,,,,
MadWolf,狂人狼,悲剧,,为何,传达不到,最后的背叛,,,,,,,,,,,,
Neet,NEET,无业,旷课,隐蔽青年,工作了就输了,,,,,,,,,,,,,
Liar,骗子,,迫真,大嘘,诡辩,说谎癖,,,,,,,,,,,,
Spy2,间谍Ⅱ,知情者,外交官,煽动,黑幕,KGB,,,,,,,,,,,,
Copier,模仿者,模仿,,百变怪,镜,克隆,,,,,,,,,,,,
Light,死亡笔记,夜神月,Killer,死神,阎魔,新世界的神,,,,,,,,,,,,
Fanatic,狂信者,信者,殉教者,狂信徒,布教,异端審問,,,,,,,,,,,,
HearMadman,听狂人,传声筒,狼的耳朵,顺风耳,信使,传令,从者,部下,,,,,,,,,,
Immoral,背德者,破戒,堕天,背信,罪人,七大罪,,,,,,,,,,,,
Devil,恶魔,使魔,,恶灵,魔王,撒旦,,,,,,,,,,,,
ToughGuy,硬汉,筋肉,格斗家,终结者,CHAMPION,StreetFighter,,,,,,,,,,,,
Diseased,病人,着凉,流感,肺炎,结核,癌,,,,,,,,,,,,
Spellcaster,咒言师,诅咒,沉默是金,恨,怨念,,,,,,,,,,,,,
Lycan,狼凭,误解,莫须有,濡衣,冤罪,,,,,,,,,,,,,
Priest,圣职者,神仆,牧师,司祭,神父,教皇,,,,,,,,,,,,
Prince,王子,皇族,皇帝,皇太子,秦始皇,,,,,,,,,,,,,
PI,超常现象研究者,大学生,研究生,博士后,研究者,诺贝尔奖,,,,,,,,,,,,
Sorcerer,妖术师,幻术,海市蜃楼,,幻影,幻想,,,,,,,,,,,,
Doppleganger,二重身,随机应变,,变幻自在,转生,,,,,,,,,,,,,
CultLeader,邪教主,教祖,崇拜,,支配,,,,,,,,,,,,,
Vampire,吸血鬼,魔族,血,血骑士,德拉古,,,,,,,,,,,,,
LoneWolf,一匹狼,我田引水,唯我独尊,,,天涯孤独,,,,,,,,,,,,
Cat,光喵,猫妖,二尾,,,百万复活,,,,,,,,,,,,
Witch,魔女,魔法少女,炼金术,巫女,,圆环之理,,,,,,,,,,,,
Oldman,老人,扑克脸路人男,寿终正寝,长者,,世界最高龄,,,,,,,,,,,,
Tanner,皮革匠,社畜,自杀冲动,,,安乐死,,,,,,,,,,,,
OccultMania,怪诞狂热者,都市传说,,UMA,宇宙人,神秘,,,,,,,,,,,,
WolfCub,狼之子,幼狼,幼兽,成长期,变身,咆哮,次世代,,,,,,,,,,,
WhisperingMad,低语狂人,附耳低语,绳电话,手机,,心电感应,,,,,,,,,,,,
Thief,小偷,贼,怪盗,泥棒,顺手牵羊,神偷,空空儿,,,,,,,,,,,
Dog,犬,汪,DOGE,犬伏景子,仆从,,,,,,,,,,,,,
Dictator,独裁者,大独裁者,平清盛,始皇帝,金正日,斯大林,希特勒,,,,,,,,,,,
SeersMama,占卜师的妈妈,野分,瓦罗兰特玩家,妈妈,阿尔托莉雅卡斯特,圣母,,,,,,,,,,,,
Trapper,哈肯萨,陷阱师,万条巧手,机关师,,,,,,,,,,,,,,
WolfBoy,狼少年,牧羊,骗局,,,信用度0,,,,,,,,,,,,
Hoodlum,无赖,暴力团,极道,任侠,泥醉,喧哗上等,,,,,,,,,,,,
RedHood,小红帽,,Ruby,归来,,,,,,,,,,,,,,
Counselor,策士,三寸舌,,口若悬河,,,,,,,,,,,,,,
Miko,巫女,Cosplay,Jin,神明的加护,,,,,,,,,,,,,,
GreedyWolf,贪婪的狼,,强欲,欲壑,,,,,,,,,,,,,,
FascinatingWolf,魅惑的女狼,尤物,魅惑,,,,,,,,,,,,,,,
SolitudeWolf,孤独的狼,孤高,一匹,独往独来,孤狼,孤立无援,,,,,,,,,,,,
ToughWolf,硬汉人狼,往死里咬,皆杀,无悔,,,,,,,,,,,,,,
LastStandWolf,绝地人狼,绝地,背水一战,最后之狼,狼之绝境,孤狼反击,逆境袭击,,,,,,,,,,,
ThreateningWolf,威吓的狼,,睥睨,气势逼人,,,,,,,,,,,,,,
HolyMarked,圣痕者,聖别,神选,受難,奇蹟,救世主,,,,,,,,,,,,
WanderingGuard,游荡猎人,放浪,浪人,游侠,流浪者,雲の旅人,,,,,,,,,,,,
ObstructiveMad,碍事的狂人,妨害,邪魔,障壁,反骨,塞翁,,,,,,,,,,,,
TroubleMaker,闹事者,头版,头条,大新闻,,,,,,,,,,,,,,
FrankensteinsMonster,弗兰肯斯坦的怪物,弗兰肯,,,,,,,,,,,,,,,,
BloodyMary,玛丽,镜中魔女,伝説,召唤,恐怖,13号星期五,,,,,,,,,,,,
King,国王,玉座,戴冠,统治者,万王之王,皇帝,,,,,,,,,,,,
PsychoKiller,变态杀人狂,开膛手,,免罪,,,,,,,,,,,,,,
SantaClaus,圣诞老人,圣夜,礼物,烟囱,袋,12月25日,,,,,,,,,,,,
Phantom,怪盗,鼠小僧,基德,亚森·罗平,,,,,,,,,,,,,,
BadLady,恶女,花式悍跳,平衡之道,,,,,,,,,,,,,,,
Cupid,丘比特,见习天使,准天使,天使,天使长,炽天使,,,,,,,,,,,,
Lover,求爱者,视线相接,恋人募集中,求婚,深爱,,,,,,,,,,,,,
Patissiere,糕点师,甜品,蛋糕,马卡龙,蒙布朗,甜蜜陷阱,,,,,,,,,,,,
DrawGirl,看板娘,看板,招待,smile,心,店の顔,,,,,,,,,,,,
CautiousWolf,慎重的狼,慎重,心机深沉,,,,,,,,,,,,,,,
Pyrotechnist,烟火师,花,火花,夏祭,打上,静寂与火花,,,,,,,,,,,,
MagicalGirl,魔法少女,魔法,变身,契约,星光,守护,奇迹,夜之力,,,,,,,,,,
Baker,面包店,甜圈,咖喱面包,パン,发酵,烘焙,小麦,麦香,,,,,,,,,,
Bomber,炸弹魔,爆破,C4,起爆,爆笑,破壊神,,,,,,,,,,,,
Blasphemy,亵渎者,冒涜,神敵,反逆,裏切り者,堕天使,,,,,,,,,,,,
